"donor_id","age","gender","balance","income_category","education","previous_gifts","mean_gift","max_gift","min_gift","recency","emails_opened","website_visits","attended_event","newsletter_subscriber","region","area_type","gender_F","income_low","income_medium","income_high"
10001,65,"F",0,"Medium","Master",3,49.69,111.59,15.99,341,5,8,0,1,"Durrës","Urban",1,0,1,0
10002,61,"F",2106.62,"Medium","Bachelor",7,20.11,42.47,7.37,913,10,2,0,1,"Elbasan","Suburban",1,0,1,0
10003,87,"M",3221.06,"Medium","High School",2,25.5,49.5,7.89,251,8,5,0,0,"Durrës","Suburban",0,0,1,0
10004,49,"M",853.22,"Medium","High School",1,37.42,73.66,18.43,33,5,6,0,1,"Other","Urban",0,0,1,0
10005,28,"M",735.31,"Medium","Bachelor",3,20.34,39.64,12.31,272,7,8,0,0,"Durrës","Suburban",0,0,1,0
10006,59,"F",286.81,"Medium","Bachelor",1,29.85,67.06,23.79,515,10,7,0,0,"Tiranë","Urban",1,0,1,0
10007,35,"F",1072.2,"High","Master",3,43.79,69.08,14.7,371,8,3,0,0,"Tiranë","Urban",1,0,0,1
10008,39,"F",1368.18,"Low","Master",4,32.99,58.83,10.75,591,10,9,0,1,"Other","Suburban",1,1,0,0
10009,78,"F",1235.64,"Medium","Master",2,80.75,113.17,58.87,654,13,1,0,0,"Tiranë","Urban",1,0,1,0
10010,52,"F",317.41,"Medium","Bachelor",3,10.46,11.78,3.51,760,14,4,0,0,"Tiranë","Suburban",1,0,1,0
10011,68,"F",1898.55,"High","High School",2,55.29,128.97,34.84,493,12,3,0,1,"Tiranë","Suburban",1,0,0,1
10012,35,"F",0,"Medium","Master",1,54.06,125.11,18.48,871,6,7,0,1,"Other","Urban",1,0,1,0
10013,72,"M",1962.17,"High","High School",2,74.95,107.24,43.17,707,3,1,0,1,"Tiranë","Urban",0,0,0,1
10014,63,"M",1508.06,"Medium","Bachelor",2,21.08,36.3,11.02,439,12,5,0,1,"Durrës","Rural",0,0,1,0
10015,66,"M",1707.84,"Medium","High School",1,38.25,69.74,30.22,102,10,3,0,1,"Tiranë","Suburban",0,0,1,0
10016,33,"M",642.37,"Low","Bachelor",5,11.71,21.22,7.65,950,15,1,0,1,"Tiranë","Suburban",0,1,0,0
10017,46,"M",834.1,"High","Bachelor",0,0,0,0,NA,6,8,0,1,"Durrës","Urban",0,0,0,1
10018,68,"F",1657.73,"Low","Bachelor",6,181.17,394.69,80.04,540,7,6,1,0,"Elbasan","Suburban",1,1,0,0
10019,33,"M",1831.48,"Medium","Bachelor",5,52.61,92.39,23.94,761,8,10,1,1,"Durrës","Urban",0,0,1,0
10020,39,"F",1827.72,"Medium","Master",1,114.87,275.47,72.28,117,8,3,0,1,"Durrës","Suburban",1,0,1,0
10021,58,"F",0,"Medium","High School",3,10.3,23,7.94,584,5,7,1,1,"Durrës","Suburban",1,0,1,0
10022,58,"M",2392.66,"Low","Bachelor",3,41.2,97.83,21.8,62,12,5,0,1,"Shkodër","Suburban",0,1,0,0
10023,53,"M",2019.11,"Medium","Bachelor",1,19.34,27.71,12.47,897,6,5,0,1,"Tiranë","Urban",0,0,1,0
10024,87,"F",663.92,"Low","Bachelor",2,56.13,117.88,43.74,126,10,6,0,0,"Durrës","Urban",1,1,0,0
10025,70,"M",0,"High","High School",4,17.8,43.39,7.65,561,10,5,1,1,"Other","Urban",0,0,0,1
10026,44,"M",1286.15,"Medium","High School",3,27.45,65.97,9.71,205,8,13,0,1,"Other","Urban",0,0,1,0
10027,61,"M",2896.54,"High","High School",1,46.88,93.42,30.35,264,12,3,1,1,"Durrës","Rural",0,0,0,1
10028,47,"M",1434.19,"Low","High School",0,0,0,0,NA,3,8,1,1,"Vlorë","Suburban",0,1,0,0
