"donor_id","donated","age","gender","marital_status","balance","income_category","education","previous_gifts","mean_gift","max_gift","min_gift","median_gift","days_since_first_gift","recency","frequency","emails_opened","website_visits","attended_event","newsletter_subscriber","region","area_type","distance_to_office","gender_F","gender_M","income_low","income_medium","income_high","income_veryhigh","age_disc","balance_disc","mean_gift_disc","max_gift_disc","recency_disc"
1,1,46,"F","Married",863.83,"Medium","Bachelor",3,73.17,102.13,50.29,87.65,1483,642,0.738368172623061,4,4,0,0,"Tiranë","Suburban",31.6,1,0,0,1,0,0,"age_2","balance_2","mean_gift_4","max_gift_4","recency_4"
4,1,82,"M","Single",1914.43,"High","PhD",4,57.49,115.7,39.14,86.6,1163,910,1.25537403267412,8,9,0,0,"Other","Suburban",5.1,0,1,0,0,1,0,"age_5","balance_4","mean_gift_4","max_gift_4","recency_5"
5,1,71,"M","Married",1666.15,"Medium","High School",2,73.1,107.09,38.72,90.1,271,271,2,7,6,1,1,"Tiranë","Rural",2.8,0,1,0,1,0,0,"age_5","balance_3","mean_gift_4","max_gift_4","recency_2"
9,1,47,"M","Single",2482.98,"Medium","High School",5,30.15,71.11,16.74,50.63,264,253,5,7,3,0,1,"Tiranë","Suburban",44.3,0,1,0,1,0,0,"age_2","balance_5","mean_gift_2","max_gift_3","recency_2"
11,1,44,"M","Widowed",1712.68,"Medium","Master",2,53.64,100.2,24.39,76.92,2372,610,0.307757166947723,13,4,0,0,"Other","Suburban",55.6,0,1,0,1,0,0,"age_2","balance_4","mean_gift_4","max_gift_4","recency_4"
13,0,66,"M","Married",701.45,"High","High School",4,24.42,27.92,7.91,26.17,1007,601,1.44985104270109,7,5,1,1,"Elbasan","Urban",27.1,0,1,0,0,1,0,"age_4","balance_1","mean_gift_2","max_gift_1","recency_4"
16,1,61,"M","Married",1885.32,"High","Master",1,44.46,68.28,33.86,56.37,162,162,1,7,4,0,1,"Tiranë","Urban",45,0,1,0,0,1,0,"age_4","balance_4","mean_gift_3","max_gift_3","recency_1"
17,0,37,"F","Single",1125.26,"Medium","High School",2,25.13,42.94,13.17,34.03,2003,199,0.36445332001997,8,2,0,1,"Other","Urban",38.3,1,0,0,1,0,0,"age_1","balance_2","mean_gift_2","max_gift_2","recency_2"
18,1,40,"F","Widowed",2593.53,"Medium","Master",2,2.15,3.28,1.39,2.71,522,522,1.39846743295019,7,5,1,1,"Other","Urban",25.2,1,0,0,1,0,0,"age_1","balance_5","mean_gift_1","max_gift_1","recency_3"
20,0,30,"M","Single",2057.05,"Low","High School",2,49.1,67.68,19.24,58.39,2064,942,0.353682170542636,4,4,0,0,"Tiranë","Urban",51.7,0,1,1,0,0,0,"age_1","balance_4","mean_gift_3","max_gift_3","recency_5"
21,1,39,"M","Single",880.17,"Low","High School",2,203.45,445.34,69.66,324.4,1672,636,0.436602870813397,8,7,0,1,"Tiranë","Urban",35.9,0,1,1,0,0,0,"age_1","balance_2","mean_gift_5","max_gift_5","recency_4"
25,0,52,"M","Single",1943.04,"Medium","Bachelor",1,46.25,84.9,21.32,65.58,2556,169,0.142801251956182,3,7,0,0,"Vlorë","Urban",22.9,0,1,0,1,0,0,"age_3","balance_4","mean_gift_3","max_gift_3","recency_1"
27,1,79,"M","Married",1260.78,"Medium","Master",4,29.79,53.36,13.76,41.58,2068,184,0.705996131528046,9,7,0,1,"Elbasan","Urban",59.8,0,1,0,1,0,0,"age_5","balance_2","mean_gift_2","max_gift_2","recency_2"
28,0,57,"M","Married",884.33,"High","Bachelor",2,53.38,59.61,33.28,56.5,1014,199,0.719921104536489,9,6,0,0,"Elbasan","Urban",11.1,0,1,0,0,1,0,"age_3","balance_2","mean_gift_4","max_gift_3","recency_2"
30,0,30,"F","Single",644.95,"Low","Master",2,100.27,153.71,46.61,126.99,1583,406,0.461149715729627,6,7,1,1,"Durrës","Rural",3.6,1,0,1,0,0,0,"age_1","balance_1","mean_gift_5","max_gift_5","recency_3"
31,1,55,"M","Married",1674.95,"Very High","Bachelor",4,16.28,23.75,9.99,20.02,397,397,3.67758186397985,8,6,0,1,"Other","Suburban",41.4,0,1,0,0,0,1,"age_3","balance_3","mean_gift_1","max_gift_1","recency_3"
